business_name,phone,address,rating,reviews,website
"Austin Rooter Service","(512) 644-4293","7623 Main St, Austin, TX 78635",4.8,127,"https://austinrooterservice.com"
"Austin Drain Masters","(210) 219-3194","3671 Oak Ave, Austin, TX 78730",4.7,89,"https://austindrainmasters.com"
"Capital City Plumbing","(713) 564-4997","2357 Elm St, Austin, TX 78704",4.5,203,"https://capitalcityplumbing.com"
"Austin Pipe Pros","(972) 629-9920","7618 Broadway, Austin, TX 78651",4.3,56,"https://austinpipepros.com"
"Austin Sewer & Drain","(817) 706-4944","4038 Cedar Ln, Austin, TX 78282",4.9,312,"https://austinsewerdrain.com"
"Apex Plumbing Austin","(469) 250-7935","7613 1st St, Austin, TX 78844",4.6,45,"https://apexplumbingaustin.com"
"Austin Repipe Specialists","(214) 672-8764","8914 Park Rd, Austin, TX 78527",4.4,98,"https://austinrepipespecialists.com"
"Austin Service Plumbing","(936) 393-6889","4766 Lake Dr, Austin, TX 78264",4.2,167,"https://austinserviceplumbing.com"
"Austin Mechanical","(979) 706-8568","4215 River Rd, Austin, TX 78667",4.1,34,"https://austinmechanical.com"
"Austin Emergency Plumbers","(830) 875-1056","4393 Maple Ave, Austin, TX 78588",5.0,78,"https://austinemergencyplumbers.com"
"Bluebonnet Plumbing Austin","(512) 641-3206","866 Main St, Austin, TX 78970",3.9,142,"https://bluebonnetplumbingaustin.com"
"Lone Star Pipe Austin","(210) 412-1981","8614 Oak Ave, Austin, TX 78442",4.0,215,"https://lonestarpipeaustin.com"
"Austin Water Works","(713) 602-7026","1293 Elm St, Austin, TX 78295",4.7,61,"https://austinwaterworks.com"
"Austin Drain Solutions","(972) 653-9665","2719 Broadway, Austin, TX 78136",4.5,93,"https://austindrainsolutions.com"
"Precision Plumbing Austin","(817) 887-5882","6613 Cedar Ln, Austin, TX 78853",4.3,127,"https://precisionplumbingaustin.com"
"Austin Flow Masters","(469) 608-2815","4982 1st St, Austin, TX 78569",4.8,89,"https://austinflowmasters.com"
"Red River Plumbing","(214) 722-4974","6081 Park Rd, Austin, TX 78966",4.7,203,"https://redriverplumbing.com"
"Hill Country Drains","(936) 672-5790","2874 Lake Dr, Austin, TX 78894",4.5,56,"https://hillcountrydrains.com"
"Pecan Springs Plumb","(979) 669-6088","1219 River Rd, Austin, TX 78278",4.3,312,"https://pecanspringsplumb.com"
"Austin Hydro-Flow","(830) 763-4132","2847 Maple Ave, Austin, TX 78836",4.9,45,"https://austinhydroflow.com"
